88:6B:0F:4A:71:00    -    SLF-Logger BLE
SerialNr;2005-0071
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;3938.0

Logger State;Stopped
Battery Level;72

Start Time;08. 09. 2022  05:33:06
PC Readout Time;22. 09. 2023  03:32:45
Logger Readout Time;22. 09. 2023  03:31:26
Logger to PC Difference;0d 0h 1min 19sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;9094
04.10.2022 14:33:06;0.6
04.10.2022 15:33:06;0.6
04.10.2022 16:33:06;0.6
04.10.2022 17:33:06;0.6
04.10.2022 18:33:06;0.6
04.10.2022 19:33:06;0.6
04.10.2022 20:33:06;0.6
04.10.2022 21:33:06;0.6
04.10.2022 22:33:06;0.4
04.10.2022 23:33:06;0.4
05.10.2022 00:33:06;0.4
05.10.2022 01:33:06;0.4
05.10.2022 02:33:06;0.4
05.10.2022 03:33:06;0.4
05.10.2022 04:33:06;0.4
05.10.2022 05:33:06;0.4
05.10.2022 06:33:06;0.4
05.10.2022 07:33:06;0.4
05.10.2022 08:33:06;0.4
05.10.2022 09:33:06;0.4
05.10.2022 10:33:06;0.4
05.10.2022 11:33:06;0.4
05.10.2022 12:33:06;0.4
05.10.2022 13:33:06;0.4
05.10.2022 14:33:06;0.4
05.10.2022 15:33:06;0.4
05.10.2022 16:33:06;0.4
05.10.2022 17:33:06;0.4
05.10.2022 18:33:06;0.2
05.10.2022 19:33:06;0.2
05.10.2022 20:33:06;0.2
05.10.2022 21:33:06;0.2
05.10.2022 22:33:06;0.2
05.10.2022 23:33:06;0.2
06.10.2022 00:33:06;0.2
06.10.2022 01:33:06;0.2
06.10.2022 02:33:06;0.2
06.10.2022 03:33:06;0.0
06.10.2022 04:33:06;0.0
06.10.2022 05:33:06;0.0
06.10.2022 06:33:06;0.0
06.10.2022 07:33:06;0.2
06.10.2022 08:33:06;0.2
06.10.2022 09:33:06;0.2
06.10.2022 10:33:06;0.2
06.10.2022 11:33:06;0.2
06.10.2022 12:33:06;0.2
06.10.2022 13:33:06;0.2
06.10.2022 14:33:06;0.2
06.10.2022 15:33:06;0.2
06.10.2022 16:33:06;0.2
06.10.2022 17:33:06;0.2
06.10.2022 18:33:06;0.0
06.10.2022 19:33:06;0.0
06.10.2022 20:33:06;0.0
06.10.2022 21:33:06;0.0
06.10.2022 22:33:06;0.0
06.10.2022 23:33:06;0.0
07.10.2022 00:33:06;0.0
07.10.2022 01:33:06;0.0
07.10.2022 02:33:06;0.0
07.10.2022 03:33:06;0.0
07.10.2022 04:33:06;0.0
07.10.2022 05:33:06;0.0
07.10.2022 06:33:06;0.0
07.10.2022 07:33:06;0.0
07.10.2022 08:33:06;0.0
07.10.2022 09:33:06;0.0
07.10.2022 10:33:06;0.0
07.10.2022 11:33:06;0.0
07.10.2022 12:33:06;0.0
07.10.2022 13:33:06;0.0
07.10.2022 14:33:06;0.0
07.10.2022 15:33:06;0.0
07.10.2022 16:33:06;0.0
07.10.2022 17:33:06;0.0
07.10.2022 18:33:06;0.0
07.10.2022 19:33:06;0.0
07.10.2022 20:33:06;-0.2
07.10.2022 21:33:06;-0.2
07.10.2022 22:33:06;-0.2
07.10.2022 23:33:06;-0.2
08.10.2022 00:33:06;-0.2
08.10.2022 01:33:06;-0.2
08.10.2022 02:33:06;-0.2
08.10.2022 03:33:06;-0.2
08.10.2022 04:33:06;-0.4
08.10.2022 05:33:06;-0.2
08.10.2022 06:33:06;-0.2
08.10.2022 07:33:06;-0.2
08.10.2022 08:33:06;-0.2
08.10.2022 09:33:06;-0.2
08.10.2022 10:33:06;-0.2
08.10.2022 11:33:06;-0.2
08.10.2022 12:33:06;-0.2
08.10.2022 13:33:06;-0.2
08.10.2022 14:33:06;-0.2
08.10.2022 15:33:06;-0.2
08.10.2022 16:33:06;-0.2
08.10.2022 17:33:06;-0.2
08.10.2022 18:33:06;-0.2
08.10.2022 19:33:06;-0.2
08.10.2022 20:33:06;-0.4
08.10.2022 21:33:06;-0.4
08.10.2022 22:33:06;-0.4
08.10.2022 23:33:06;-0.4
09.10.2022 00:33:06;-0.4
09.10.2022 01:33:06;-0.4
09.10.2022 02:33:06;-0.6
09.10.2022 03:33:06;-0.6
09.10.2022 04:33:06;-0.6
09.10.2022 05:33:06;-0.6
09.10.2022 06:33:06;-0.4
09.10.2022 07:33:06;-0.4
09.10.2022 08:33:06;-0.4
09.10.2022 09:33:06;-0.2
09.10.2022 10:33:06;-0.2
09.10.2022 11:33:06;-0.2
09.10.2022 12:33:06;-0.2
09.10.2022 13:33:06;-0.2
09.10.2022 14:33:06;-0.2
09.10.2022 15:33:06;-0.2
09.10.2022 16:33:06;-0.2
09.10.2022 17:33:06;-0.2
09.10.2022 18:33:06;-0.4
09.10.2022 19:33:06;-0.4
09.10.2022 20:33:06;-0.4
09.10.2022 21:33:06;-0.6
09.10.2022 22:33:06;-0.6
09.10.2022 23:33:06;-0.8
10.10.2022 00:33:06;-0.8
10.10.2022 01:33:06;-0.8
10.10.2022 02:33:06;-1.0
10.10.2022 03:33:06;-1.0
10.10.2022 04:33:06;-1.0
10.10.2022 05:33:06;-1.0
